filename,NOT_CEN,Unique_CEN,Multi_CEN
SML_38_merged.fa,11153194,286682,146926
SML_25_merged.fa,13106732,9552592,6096707
SML_18_merged.fa,8327583,4759035,2916477
SML_17_merged.fa,5017322,3707801,2453494
SML_14_merged.fa,10826492,376218,171148
SML_23_merged.fa,15985723,6695389,4404367
SML_19_merged.fa,9451427,169804,96018
SML_40_merged.fa,8702402,6965959,4602411
SML_43_merged.fa,13601841,720027,413206
SML_39_merged.fa,7611351,6138701,4073583
SML_37_merged.fa,18355668,1443147,731329
