filename,NOT_CEN,Unique_CEN,Multi_CEN
SML_30_merged.fa,14905050,218833,51630
SML_26_merged.fa,14335347,5917726,1784191
SML_25_merged.fa,17153022,8880448,2722561
SML_22_merged.fa,21493070,242942,57142
SML_21_merged.fa,16033833,2100092,501680
SML_23_merged.fa,18829753,6305514,1950212
SML_29_merged.fa,14531447,1395342,314454
SML_20_merged.fa,20870623,1973702,435533
SML_28_merged.fa,15201617,163528,38549
SML_27_merged.fa,18792039,2358176,559487
