"#6 Samples, 443 sites in matrix (663 total):",,,,,
ID,Factor,Replicate,Caller,Intervals,
1,AtCENH3_1,AtCENH3,1,macs,315
2,AtCENH3_2,AtCENH3,2,macs,255
3,LoCENH3_1,LoCENH3,1,macs,296
4,LoCENH3_2,LoCENH3,2,macs,308
5,ZmCENH3_1,ZmCENH3,1,macs,401
6,ZmCENH3_2,ZmCENH3,2,macs,408
