filename,NOT_CEN,Unique_CEN,Multi_CEN
SML_16_merged.fa,7090064,780132,192434
SML_18_merged.fa,10475369,4248200,1279526
SML_17_merged.fa,6744516,3397826,1036275
SML_14_merged.fa,10946787,344114,82957
SML_13_merged.fa,9556866,63774,13790
SML_10_merged.fa,9413680,536179,127134
SML_19_merged.fa,9517144,158438,41667
SML_03_merged.fa,9690297,82631,16907
SML_12_merged.fa,10294316,270635,65114
SML_11_merged.fa,12198045,1323016,320573
