filename,NOT_CEN,Unique_CEN,Multi_CEN
SML_38_merged.fa,11254370,269523,62909
SML_25_merged.fa,17153022,8880448,2722561
SML_18_merged.fa,10475369,4248200,1279526
SML_17_merged.fa,6744516,3397826,1036275
SML_14_merged.fa,10946787,344114,82957
SML_23_merged.fa,18829753,6305514,1950212
SML_19_merged.fa,9517144,158438,41667
SML_40_merged.fa,11607700,6775653,1887419
SML_43_merged.fa,13855792,701494,177788
SML_39_merged.fa,10162591,5985147,1675897
SML_37_merged.fa,18829509,1366367,334268
